,p_val,avg_logFC,pct.1,pct.2,p_val_adj
RPLP1,5.23967429255993e-275,1.00866943068987,1,1,9.77670826248758e-271
RPL41,1.48204504747902e-263,0.948634377845619,1,1,2.7653478540911e-259
FTH1,5.76633086692203e-240,0.945529522806465,1,1,1.07593967645898e-235
RPS15,6.01085316703583e-214,0.738497474494555,1,1,1.12156509243722e-209
EEF1A1,2.05277424757616e-205,0.831749936747575,1,1,3.83027146855236e-201
RPS18,6.13809081206355e-204,0.870721453246548,1,1,1.14530636462294e-199
RPS3A,1.37947881669955e-200,0.833494565387098,1,1,2.57396952407969e-196
RPS4X,7.81065635423184e-200,0.789498557321993,1,1,1.45739036913612e-195
RPLP0,6.30285260962891e-198,0.811216556517421,1,1,1.17604926843066e-193
RPS8,2.83712522678834e-183,0.714596231435319,1,1,5.29379196066436e-179
RPS27A,1.75736884539403e-179,0.725032353934695,0.999,1,3.27907452862072e-175
RPL10,1.24600040719021e-176,0.788680707010202,0.999,1,2.32491215977622e-172
RPS14,2.63856508742971e-175,0.752498986302469,1,1,4.9232985966351e-171
CPB1,5.37451762002259e-175,1.31989990989502,1,1,1.00283124272002e-170
RPL8,2.43761629692413e-171,0.682602613238936,1,1,4.54834824843073e-167
GAPDH,2.32103271863004e-168,0.840561748155078,1,1,4.3308149496918e-164
NDUFS5,1.88932528923424e-167,0.667984999659419,1,1,3.52529205718217e-163
RPL19,8.0170249628768e-161,0.659844360550448,1,1,1.49589668782318e-156
RPS12,4.83758809196357e-160,0.680379857655812,1,1,9.02645562079483e-156
RPL28,2.3218211031616e-156,0.60263748051849,0.999,1,4.33228599638923e-152
RPL18,1.80424033515642e-155,0.636304904494343,0.999,0.998,3.36653204136836e-151
PTMA,1.93213588325827e-155,0.565184334910815,0.999,1,3.60517234457161e-151
RPS13,3.33315266530109e-151,0.672460089406838,1,1,6.2193295581853e-147
RPL15,6.82525935386064e-150,0.644876225363081,1,1,1.27352514283686e-145
RPS23,5.3278049136927e-148,0.654453564196679,1,1,9.94115118845921e-144
RPS19,7.58705143112144e-145,0.599472553563956,1,1,1.41566792653295e-140
RPL7A,1.90625297370512e-143,0.675492776289477,1,1,3.55687742363639e-139
SEC11C,2.7714105924583e-140,0.88138956291179,0.999,1,5.17117502446793e-136
RPL29,2.84865808441042e-140,0.628575662111652,1,1,5.3153111197014e-136
RPS15A,7.20143892279374e-138,0.63969595212429,1,1,1.34371648860408e-133
MT-ND5,2.7233061599153e-135,-1.00015151637875,0.954,1,5.08141696378595e-131
RPS5,5.68243498379927e-134,0.663554025792533,0.999,0.998,1.06028554362711e-129
APOD,2.61320759971037e-133,0.871331966741995,0.999,0.998,4.87598406029957e-129
RPL32,8.43872597535115e-132,0.598679489165964,1,1,1.57458187974077e-127
H3F3A,3.04421853372054e-131,0.572467647193716,1,1,5.68020736206916e-127
MIF,1.38924217115181e-129,0.668701776013787,1,1,2.59218696715217e-125
RPS28,3.48637896869662e-128,0.600521077612112,1,1,6.50523451769102e-124
TMSB10,3.60511711873924e-128,0.613289798509745,0.999,1,6.72678803185554e-124
HINT1,1.64031965630135e-126,0.602714815559784,0.999,1,3.06067244669269e-122
RPL18A,8.11950706009597e-125,0.665021518379406,0.999,0.998,1.51501882234331e-120
MT-ND2,9.38359554227778e-125,-1.0792429644142,0.995,1,1.75088509223361e-120
TAC3,1.16110494083808e-122,-0.374130837174606,0.138,0.722,2.16650570910978e-118
MTRNR2L12,6.13673810835575e-122,-1.20284480353044,0.946,1,1.1450539636381e-117
MALAT1,2.50940008236457e-121,-1.40180347493154,0.999,1,4.68228961368406e-117
