,p_val,avg_logFC,pct.1,pct.2,p_val_adj
LSM3,1.91588783339923e-71,0.304735417731278,0.623,0.382,3.57485510833962e-67
NDUFB5,2.36000831263761e-71,0.308627646637078,0.556,0.32,4.40353951055053e-67
ROMO1,2.96438046433249e-71,-0.312819356161818,0.345,0.57,5.53123750839799e-67
KLK11,3.02751424379672e-71,0.268984467685507,0.314,0.092,5.64903882750031e-67
CHCHD2,3.10808950775028e-71,-0.256240340564769,0.997,0.998,5.79938421251125e-67
RPLP1,3.20562854134655e-71,-0.311313974107049,1,1,5.98138229529852e-67
ALCAM,4.53975340586921e-71,0.338279679760434,0.466,0.234,8.47072588001135e-67
DUSP1,5.58611547929368e-71,-0.510674861289599,0.206,0.402,1.04231328728141e-66
GDF15,6.31708767261165e-71,0.70236718297461,0.272,0.068,1.17870538883261e-66
C12orf75,7.45758179910891e-71,0.349877877239356,0.792,0.592,1.39151018789573e-66
PCLO,1.28996918745852e-70,-0.299603160248326,0.214,0.461,2.40695350687885e-66
UQCR11,2.8484450185837e-70,-0.288417565342912,0.84,0.919,5.31491356017532e-66
FOLR1,2.88568207308763e-70,0.254233138743381,0.294,0.085,5.3843941801742e-66
IL17RB,1.12549042186719e-69,0.285630727114299,0.336,0.116,2.100052578162e-65
RPS4Y1,2.6857179889807e-69,-0.30571168385283,0.755,0.884,5.01128119563909e-65
GGH,3.64871223704759e-69,0.400727893440701,0.629,0.416,6.80813216310709e-65
UQCR10,4.14308600579036e-69,-0.289754511776381,0.743,0.843,7.73058417820424e-65
RPS23,4.49793630835131e-69,-0.262548497146261,1,1,8.39269935775271e-65
ASCL1,1.17690903474189e-68,0.409926564744992,0.951,0.89,2.1959945679249e-64
TSPAN8,1.60598314253904e-68,0.27467747969108,0.31,0.098,2.9966039456636e-64
TRA2A,1.94330350126434e-68,-0.289485360571244,0.201,0.444,3.62601000300913e-64
GRIK2,2.75671944819716e-68,0.341958885328303,0.349,0.13,5.14376281839107e-64
GADD45B,5.39417950911314e-68,-0.515508830142138,0.467,0.593,1.00649995460542e-63
WDR6,5.73191303948387e-68,0.329373055261574,0.452,0.216,1.0695176540373e-63
PTMS,8.57560723877028e-68,-0.29095213999794,0.922,0.982,1.60012255468215e-63
KLHL23,1.1673919787594e-67,-0.259738459329812,0.171,0.402,2.17823669316716e-63
NME1,1.65715562771268e-67,-0.281460479642017,0.227,0.457,3.09208668574908e-63
RPS5,3.71670536144413e-66,-0.275816484131605,0.999,0.998,6.9350005339186e-62
KRTCAP2,6.08953485922856e-66,-0.293402792947171,0.859,0.92,1.13624630938346e-61
AC109466.1,1.13413924387643e-65,0.378311621059095,0.505,0.275,2.11619041514902e-61
IER2,3.19499532011474e-65,-0.416568854296121,0.214,0.418,5.96154176780209e-61
BEX3,3.92132536851188e-65,0.285719932217707,0.986,0.949,7.31680100510633e-61
RPN1,1.60667558968347e-64,0.301559444659568,0.437,0.232,2.99789598279039e-60
NTHL1,3.1435706347301e-64,-0.315727751969139,0.619,0.766,5.86558844734289e-60
AZGP1,1.12796589961391e-63,0.300028022491396,0.599,0.368,2.10467157208959e-59
PSMD7,1.41283211364011e-63,-0.252911921028067,0.188,0.405,2.63620344084107e-59
LAMP1,1.6457083907299e-63,0.290379967706808,0.414,0.199,3.07072728626293e-59
HEXB,7.24630154003574e-63,0.279024421365431,0.41,0.192,1.35208740435527e-58
PSMD6,2.06819687075007e-62,0.267126816168327,0.399,0.179,3.85904854113255e-58
RPS14,5.03098048248951e-62,-0.270532524381768,1,1,9.38730648227718e-58
MACF1,1.31649442553395e-61,-0.463013916559681,0.799,0.855,2.45644694860379e-57
COX6C,2.16673610359101e-61,-0.250611680611546,0.962,0.984,4.04291289569047e-57
PDHB,2.54914643414525e-61,0.280896404230337,0.433,0.212,4.75645233147163e-57
GNB2,3.41042565339642e-61,-0.256132381018332,0.872,0.95,6.36351322667238e-57
CD47,4.02823226980481e-61,0.299422892012104,0.616,0.405,7.51627859222879e-57
RAB7A,5.98251542791508e-61,0.272478043505386,0.429,0.214,1.11627755369468e-56
NME4,9.56798731188161e-61,0.280286097905904,0.634,0.427,1.78529075252399e-56
MT-CYB,1.05245457402385e-60,0.558841061626046,0.992,0.992,1.9637749896711e-56
RPS17,1.47561330366532e-60,-0.281805103677284,0.278,0.502,2.75334686330911e-56
