,p_val,avg_logFC,pct.1,pct.2,p_val_adj
ASCL1,3.77765867919962e-15,0.261106771834971,0.915,0.863,7.04873332951857e-11
RPL11,2.68962622590389e-14,-0.252730099792295,0.996,1,5.01857357491407e-10
PPIB,2.88897850097063e-14,0.264441668937281,0.951,0.914,5.39054498496109e-10
BRD2,3.14513848086684e-14,0.252396028027342,0.747,0.583,5.86851389144944e-10
PHGR1,5.89818049226598e-13,0.276042892271654,0.538,0.441,1.10054149805191e-08
ZMPSTE24,1.62531587264695e-12,0.323059670216003,0.606,0.488,3.03267688677194e-08
CHGA,1.91232374322591e-12,0.262927829171379,0.919,0.873,3.56820487248522e-08
ZFAS1,6.9807753465993e-12,-0.273095244356633,0.803,0.894,1.30254287192196e-07
AL050341.2,1.77445510501171e-11,0.295636672292437,0.599,0.459,3.31095578044135e-07
IGFBP2,1.2322653215226e-10,-0.400098588759982,0.805,0.89,2.29928386342901e-06
SOX4,1.1236447082746e-09,-0.358720467615985,0.966,0.986,2.09660866116958e-05
NDUFS5,2.22389428784064e-05,0.253583127010338,1,1,0.414956435168185
