,p_val,avg_logFC,pct.1,pct.2,p_val_adj
DUSP1,3.07055691956698e-59,-0.596028528410788,0.18,0.408,5.72935215622002e-55
SELENOK,3.36739379511034e-59,0.353603038888265,0.653,0.376,6.28322008229639e-55
HGF,7.37417031053191e-59,0.448512160761442,0.844,0.642,1.37594643824215e-54
APRT,1.25982071189913e-58,-0.35325010456227,0.254,0.522,2.35069946633259e-54
NDUFAF3,1.3037716718194e-58,0.368278281865433,0.442,0.201,2.43270756244783e-54
MAD1L1,2.76997163253143e-58,-0.253583812476738,0.072,0.296,5.1684900691404e-54
MEG3,1.10016598615653e-57,-0.447422344374103,0.217,0.494,2.05279971356947e-53
BPHL,1.3950545459563e-57,-0.251296881054031,0.078,0.305,2.60303227729985e-53
PCNP,1.84581496645527e-57,0.331079938372914,0.592,0.31,3.44410614590889e-53
DSP,2.47988823016961e-57,0.396578305057842,0.528,0.28,4.62722344867348e-53
PDCD6,3.95475838694379e-57,-0.324145108770757,0.849,0.915,7.37918367419841e-53
C20orf27,7.07472788960536e-57,-0.260564368186069,0.096,0.33,1.32007347692146e-52
MRPL33,9.83253701657115e-57,-0.308211648425364,0.696,0.844,1.83465308192201e-52
RPS4Y1,1.0061900576085e-56,-0.34317114216932,0.761,0.896,1.87745002849171e-52
EIF1B,1.79159113828306e-55,0.343935459436306,0.731,0.479,3.34292990492235e-51
PSMB8,4.27550135570879e-55,0.369046343948388,0.397,0.157,7.97765797961703e-51
P4HTM,6.50460471580823e-55,0.368564704933482,0.426,0.182,1.21369419392266e-50
AC109466.1,7.21654428808109e-55,0.442520351577854,0.514,0.26,1.34653499871305e-50
SRSF9,9.34369748602211e-55,-0.30480421259739,0.427,0.646,1.74344051391687e-50
IER2,6.04206856667925e-54,-0.455947006864872,0.175,0.416,1.12738957385668e-49
MDH2,8.42808528266702e-54,-0.290337664012182,0.747,0.844,1.57259643289284e-49
KRT12,1.04667977948698e-53,0.363057562435015,0.516,0.27,1.95299980054476e-49
C4orf3,2.19836131314497e-53,0.362517761036537,0.777,0.532,4.1019223741972e-49
AKR1B1,2.65561245971451e-53,-0.329706971979419,0.216,0.469,4.9551072885813e-49
HSPA5,6.22664937762167e-53,0.419056698637861,0.82,0.607,1.16183050737043e-48
NUDT3,6.85051717149802e-53,-0.299497784182445,0.206,0.474,1.27823799902982e-48
THOC7,7.1647756052988e-52,0.310289391419402,0.652,0.403,1.3368754801927e-47
SNRPE,9.10577463079271e-52,-0.279936063531703,0.889,0.943,1.69904648835961e-47
ELN,4.29174372229567e-51,-0.334424053361644,0.077,0.282,8.00796461143149e-47
PON2,5.98523413001621e-51,0.327332707762759,0.612,0.368,1.11678483631973e-46
GADD45B,1.04509281461549e-50,-0.537365271234906,0.445,0.577,1.95003868279104e-46
RPS3,1.77638663307114e-50,-0.260767305662162,0.999,1,3.31455981864745e-46
MT-ATP6,2.00209064722623e-50,0.665712519044331,0.996,0.993,3.73570093865941e-46
GTF2I,5.66031889712031e-50,-0.337048848076147,0.704,0.847,1.05615890301368e-45
MAP1B,7.00092140857245e-50,-0.339938962975741,0.616,0.782,1.30630192562553e-45
RPLP1,1.80511908970519e-49,-0.314746042046346,1,1,3.36817170948091e-45
CSTB,1.93477896911973e-49,0.288569367595353,0.955,0.862,3.6101040784805e-45
SVIP,2.41416550259305e-49,-0.341626784536049,0.433,0.626,4.50459141128837e-45
SERF2,3.87535948137859e-49,0.302485950267461,0.999,0.998,7.23103325630431e-45
CDH18,3.95285144609167e-49,0.321727786637818,0.32,0.098,7.37562551326245e-45
H2AFV,9.75366990482604e-49,-0.310710197500604,0.786,0.914,1.81993726754149e-44
NDUFA3,2.18764838645061e-48,-0.330484353834057,0.363,0.61,4.08193312427819e-44
TMEM258,2.70366457641208e-48,-0.275389674456424,0.968,0.983,5.04476773312731e-44
TMEM14C,4.3645136293837e-48,0.270870724777863,0.96,0.852,8.14374598106704e-44
WIPI2,6.80942391997692e-48,-0.252193813896711,0.137,0.371,1.27057040922849e-43
RBX1,2.13125990298834e-47,-0.31800117828685,0.379,0.601,3.97671785298594e-43
MT-ND5,3.90989156481774e-47,0.541937707062187,0.96,0.938,7.29546667079343e-43
TMSB15A,4.44865981222521e-47,-0.354979218486124,0.216,0.467,8.30075434363102e-43
ARL4A,5.01195000594223e-47,-0.332450416223224,0.155,0.366,9.35179751608761e-43
C5orf38,1.20249722522558e-46,-0.304956369898709,0.484,0.686,2.24373957254841e-42
NCAM2,1.63609439801436e-46,0.305348214748284,0.311,0.094,3.052788537255e-42
NOP53,5.57013605008062e-46,-0.298895458843553,0.427,0.655,1.03933168558454e-41
ALDOA,5.71904495220166e-46,-0.391982543672998,0.623,0.731,1.06711659763131e-41
RPL18A,7.96214982660794e-46,-0.286722691705412,0.999,1,1.48565753614678e-41
RPL41,1.06577782264445e-45,-0.289750293378031,1,1,1.98863483927228e-41
SCG5,2.44910152490362e-45,0.338089569223731,0.971,0.912,4.56977853531767e-41
PPDPF,3.01879320789349e-45,0.313941893525578,0.994,0.975,5.63276624660846e-41
MANF,4.78109031450432e-45,0.340946143854128,0.357,0.148,8.9210364178336e-41
MAP1LC3B,8.116735422082e-45,-0.297335179277201,0.234,0.478,1.51450166240628e-40
RNF187,1.069842095668e-44,-0.319888672653745,0.334,0.58,1.99621836630692e-40
TMEM176B,2.5362900322423e-44,0.29613155964336,0.697,0.457,4.7324635711609e-40
GRIK2,4.088257252571e-44,0.357672749252433,0.334,0.124,7.62827920757224e-40
RPL27A,4.68021537635656e-44,-0.263631943670265,0.941,0.973,8.7328138707437e-40
