,p_val,avg_logFC,pct.1,pct.2,p_val_adj
RPS20,1.06556837266592e-23,-0.278894667635097,0.776,0.895,1.98824402655735e-19
DDX24,1.98680757686841e-23,-0.297022359551167,0.546,0.746,3.70718425767876e-19
AP2M1,2.01557798629588e-23,0.286094605329727,0.616,0.392,3.76086696462948e-19
PTOV1,2.51467923014633e-23,0.270820434293074,0.842,0.718,4.69213997553003e-19
CFDP1,2.51798855949214e-23,-0.277997244124825,0.276,0.495,4.69831485315638e-19
MDH2,2.78206471548783e-23,-0.279914674513607,0.749,0.871,5.19105455262873e-19
SH3BGRL3,2.79746377211757e-23,0.302736556818289,0.522,0.266,5.21978765239418e-19
P4HA1,2.81592773596022e-23,0.328781022328459,0.583,0.322,5.25423956252817e-19
RPS14,3.21863545141417e-23,-0.293997805012633,1,1,6.0056518887937e-19
PARD6G-AS1,4.21376827272783e-23,-0.254146265571866,0.086,0.266,7.86247022008286e-19
HSD17B11,4.63485023095895e-23,0.295591799624075,0.816,0.618,8.6481670459463e-19
TMEM9,4.7180537964674e-23,0.27763078989798,0.7,0.477,8.80341657882851e-19
TPM3,5.0075462415377e-23,-0.291953038836304,0.656,0.839,9.3435805320852e-19
NDUFC2,6.9128539721159e-23,-0.255655406358746,0.233,0.447,1.28986942265711e-18
SYT13,7.93764357386051e-23,-0.253814142747478,0.209,0.433,1.48108491444663e-18
BRI3,8.34012863516534e-23,0.308153321819608,0.6,0.376,1.5561846020355e-18
PPP1R15A,8.48008353176778e-23,-0.38633723768766,0.234,0.441,1.58229878619255e-18
RHEB,1.12836689215734e-22,0.353516306294109,0.886,0.74,2.10541978407638e-18
LY6E,1.36658013156429e-22,0.320874296571778,0.678,0.473,2.5499018674858e-18
AGPAT2,1.4406087408511e-22,0.253849856762836,0.393,0.159,2.68803184955407e-18
KIDINS220,1.66060441773866e-22,-0.264694250075507,0.195,0.402,3.09852178305856e-18
GLRX5,2.75552310561691e-22,0.253132132941761,0.45,0.207,5.1415305627706e-18
TRMT112,3.03728037400238e-22,0.255653692983298,0.921,0.785,5.66726144985104e-18
DLL3,3.92588891079362e-22,0.308251432162841,0.726,0.527,7.32531611864982e-18
HRAS,3.94557182156084e-22,0.264302025405966,0.458,0.223,7.36204246185037e-18
IDS,5.57307392571871e-22,-0.271527342763644,0.292,0.521,1.03987986379985e-17
ATP5ME,6.11228874232118e-22,-0.270531260700544,0.532,0.724,1.14049195642971e-17
NPPA,9.64405695613681e-22,0.484095637500656,0.625,0.427,1.79948458744557e-17
