,1,2,3,5,6,7
AL669831.5,0.0610119047619048,0.0653950953678474,0.0804077010192525,0.0627705627705628,0.111913357400722,0.0551724137931034
FAM87B,0.00148809523809524,0.00454132606721163,0.00339750849377123,0.0108225108225108,0.00902527075812274,0.00689655172413793
LINC00115,0.0424107142857143,0.0599455040871935,0.072480181200453,0.051948051948052,0.0469314079422383,0.133333333333333
FAM41C,0.0133928571428571,0.0172570390554042,0.0124575311438279,0.0216450216450216,0.0288808664259928,0.0114942528735632
AL645608.7,0.0037202380952381,0.00454132606721163,0.0271800679501699,0.00216450216450216,0.00902527075812274,0
AL645608.3,0.0037202380952381,0,0.014722536806342,0.00216450216450216,0.0144404332129964,0.00919540229885057
AL645608.1,0,0,0.00566251415628539,0,0.0108303249097473,0
SAMD11,0.0119047619047619,0.0154405086285195,0.0498301245753114,0.0238095238095238,0.0649819494584837,0
NOC2L,0.29985119047619,0.27338782924614,0.440543601359003,0.354978354978355,0.601083032490975,0.291954022988506
KLHL17,0.00744047619047619,0.0227066303360581,0.0351075877689694,0.0216450216450216,0.0306859205776173,0.0367816091954023
AL645608.8,0.0104166666666667,0.0036330608537693,0.00453001132502831,0,0.0108303249097473,0.0137931034482759
HES4,0.0788690476190476,0.323342415985468,0.112117780294451,0.218614718614719,0.26173285198556,0.0367816091954023
ISG15,0.0848214285714286,0.100817438692098,0.0464326160815402,0.106060606060606,0.13898916967509,0.0137931034482759
AL645608.2,0.000744047619047619,0.00272479564032698,0,0,0.00180505415162455,0
AGRN,0.0290178571428571,0.0345140781108084,0.00113250283125708,0.0173160173160173,0.0036101083032491,0.0390804597701149
C1orf159,0.0290178571428571,0.0308810172570391,0.0271800679501699,0.0757575757575758,0.0649819494584837,0.00459770114942529
LINC01342,0,0.00181653042688465,0.00113250283125708,0.00216450216450216,0.00180505415162455,0.00459770114942529
AL390719.2,0.00446428571428571,0.00817438692098093,0.00792751981879955,0.025974025974026,0.0397111913357401,0.0137931034482759
TTLL10-AS1,0.00148809523809524,0.00272479564032698,0.00453001132502831,0.00216450216450216,0.0036101083032491,0.00229885057471264
TTLL10,0.00595238095238095,0.00817438692098093,0.00113250283125708,0.00216450216450216,0.0072202166064982,0.032183908045977
TNFRSF18,0.0238095238095238,0.0217983651226158,0.00339750849377123,0.0346320346320346,0.0288808664259928,0.00229885057471264
SDF4,0.555803571428571,0.592188919164396,0.309173272933182,0.564935064935065,0.48014440433213,0.232183908045977
B3GALT6,0.0342261904761905,0.0799273387829246,0.0611551528878822,0.0757575757575758,0.111913357400722,0.0252873563218391
C1QTNF12,0.000744047619047619,0.00635785649409628,0,0.00216450216450216,0.00180505415162455,0
UBE2J2,0.229910714285714,0.276112624886467,0.227633069082673,0.283549783549784,0.359205776173285,0.071264367816092
SCNN1D,0.00148809523809524,0.00999091734786558,0.00453001132502831,0.0216450216450216,0.0180505415162455,0.0114942528735632
ACAP3,0.10639880952381,0.151680290644868,0.217440543601359,0.201298701298701,0.234657039711191,0.206896551724138
PUSL1,0.101190476190476,0.122615803814714,0.0973952434881087,0.12987012987013,0.151624548736462,0.0344827586206897
INTS11,0.389136904761905,0.4141689373297,0.381653454133635,0.385281385281385,0.532490974729242,0.280459770114943
CPTP,0.0498511904761905,0.072661217075386,0.0396375990939977,0.0887445887445888,0.0740072202166065,0.0252873563218391
TAS1R3,0.00223214285714286,0.00544959128065395,0,0.00432900432900433,0,0.00459770114942529
DVL1,0.099702380952381,0.131698455949137,0.110985277463194,0.121212121212121,0.102888086642599,0.126436781609195
MXRA8,0.00297619047619048,0.00544959128065395,0.00113250283125708,0.00649350649350649,0.00180505415162455,0.00689655172413793
AURKAIP1,0.693452380952381,0.877384196185286,0.765571913929785,1.13203463203463,0.985559566787004,0.627586206896552
CCNL2,0.161458333333333,0.262488646684832,0.311438278595697,0.238095238095238,0.287003610108303,0.326436781609195
MRPL20,0.84375,0.821980018165304,0.634201585503964,0.722943722943723,0.796028880866426,0.577011494252874
AL391244.3,0.00297619047619048,0.00635785649409628,0.00226500566251416,0.00649350649350649,0.00541516245487365,0
ANKRD65,0.299107142857143,0.360581289736603,0.211778029445074,0.192640692640693,0.205776173285199,0.16551724137931
AL391244.2,0.00297619047619048,0.00999091734786558,0.0135900339750849,0.00649350649350649,0.0306859205776173,0
LINC01770,0.00297619047619048,0.00635785649409628,0,0,0.00541516245487365,0.00229885057471264
VWA1,0.025297619047619,0.0853769300635786,0.0181200453001133,0.0476190476190476,0.0397111913357401,0.0160919540229885
ATAD3C,0.0595238095238095,0.0508628519527702,0.0554926387315968,0.0627705627705628,0.102888086642599,0.071264367816092
